date,price_per_90kg,is_harvest_season
2013-04-30,6800.400000000001,0
2013-05-31,6533.700000000001,0
2013-06-30,6393.600000000001,1
2013-07-31,6400.200000000001,1
2013-08-31,6800.400000000001,1
2013-09-30,4500.0,0
2013-10-31,7200.0,0
2013-11-30,8700.3,0
2013-12-31,8718.42857142857,0
2014-01-31,8736.557142857142,1
2014-02-28,8754.685714285713,1
2014-03-31,8772.814285714285,0
2014-04-30,8790.942857142856,0
2014-05-31,8809.071428571428,0
2014-06-30,8827.199999999999,1
2014-07-31,8845.32857142857,1
2014-08-31,8863.457142857142,1
2014-09-30,8881.585714285713,0
2014-10-31,8899.714285714284,0
2014-11-30,8917.842857142856,0
2014-12-31,8935.971428571427,0
2015-01-31,8954.099999999999,1
2015-02-28,8972.228571428572,1
2015-03-31,8990.357142857143,0
2015-04-30,9008.485714285714,0
2015-05-31,9026.614285714286,0
2015-06-30,9044.742857142857,1
2015-07-31,9062.871428571429,1
2015-08-31,9081.0,1
2015-09-30,9099.128571428571,0
2015-10-31,9117.257142857143,0
2015-11-30,9135.385714285714,0
2015-12-31,9153.514285714286,0
2016-01-31,9171.642857142857,1
2016-02-29,9189.771428571428,1
2016-03-31,9207.9,0
2016-04-30,9226.028571428571,0
2016-05-31,9244.157142857142,0
2016-06-30,9262.285714285714,1
2016-07-31,9280.414285714285,1
2016-08-31,9298.542857142857,1
2016-09-30,9316.671428571428,0
2016-10-31,9334.8,0
2016-11-30,9352.92857142857,0
2016-12-31,9371.057142857142,0
2017-01-31,9389.185714285713,1
2017-02-28,9407.314285714285,1
2017-03-31,9425.442857142856,0
2017-04-30,9443.571428571428,0
2017-05-31,9461.699999999999,0
2017-06-30,9479.82857142857,1
2017-07-31,9497.957142857142,1
2017-08-31,9516.085714285713,1
2017-09-30,9534.214285714286,0
2017-10-31,9552.342857142858,0
2017-11-30,9570.471428571429,0
2017-12-31,9588.6,0
2018-01-31,9606.728571428572,1
2018-02-28,9624.857142857143,1
2018-03-31,9642.985714285714,0
2018-04-30,9661.114285714286,0
2018-05-31,9679.242857142857,0
2018-06-30,9697.371428571429,1
2018-07-31,9715.5,1
2018-08-31,9733.628571428571,1
2018-09-30,9751.757142857143,0
2018-10-31,9769.885714285714,0
2018-11-30,9788.014285714286,0
2018-12-31,9806.142857142857,0
2019-01-31,9824.271428571428,1
2019-02-28,9842.4,1
2019-03-31,9860.528571428571,0
2019-04-30,9878.657142857142,0
2019-05-31,9896.785714285714,0
2019-06-30,9914.914285714285,1
2019-07-31,9933.042857142857,1
2019-08-31,9951.171428571428,1
2019-09-30,9969.3,0
2019-10-31,9987.42857142857,0
2019-11-30,10005.557142857142,0
2019-12-31,10023.685714285713,0
2020-01-31,10041.814285714285,1
2020-02-29,10059.942857142858,1
2020-03-31,10078.071428571428,0
2020-04-30,10096.2,0
2020-05-31,10114.328571428572,0
2020-06-30,10132.457142857143,1
2020-07-31,10150.585714285715,1
2020-08-31,10168.714285714286,1
2020-09-30,10186.842857142858,0
2020-10-31,10204.971428571429,0
2020-11-30,10223.1,0
2020-12-31,10241.228571428572,0
2021-01-31,10259.357142857143,1
2021-02-28,10277.485714285714,1
2021-03-31,10295.614285714286,0
2021-04-30,10313.742857142857,0
2021-05-31,10331.871428571429,0
2021-06-30,10350.0,1
2021-07-31,9450.0,1
2021-08-31,8866.800000000001,1
2021-09-30,8731.2375,0
2021-10-31,10224.9,0
2021-11-30,12116.699999999999,0
2021-12-31,13500.0,0
2022-01-31,9000.0,1
2022-02-28,8550.0,1
2022-03-31,8061.1875,0
2022-04-30,6964.5,0
2022-05-31,5433.3,0
2022-06-30,9577.30909090909,1
2022-07-31,9007.135714285714,1
2022-08-31,9422.2,1
2022-09-30,9019.08,0
2022-10-31,10110.24,0
2022-11-30,11973.960000000001,0
2022-12-31,366187.5,0
2023-01-31,7600.05,1
2023-02-28,8019.276923076924,1
2023-03-31,8750.0,0
2023-04-30,5920.0199999999995,0
2023-05-31,9000.0,0
2023-06-30,5613.36,1
2023-07-31,5560.714285714285,1
2023-08-31,5928.557142857143,1
2023-09-30,5078.571428571428,0
2023-10-31,6555.6,0
2023-11-30,6000.0,0
2023-12-31,4699.9800000000005,0
2024-01-31,5180.0,1
2024-02-29,5168.7,1
2024-03-31,6014.117647058823,0
2024-04-30,5721.428571428572,0
2024-05-31,4678.7625,0
2024-06-30,5181.3,1
2024-07-31,6370.02,1
2024-08-31,7237.575,1
2024-09-30,7683.400000000001,0
2024-10-31,7749.9,0
2024-11-30,7446.342857142857,0
2024-12-31,7142.785714285714,0
2025-01-31,6839.228571428571,1
2025-02-28,6535.671428571428,1
2025-03-31,6232.114285714286,0
2025-04-30,5928.557142857143,0
2025-05-31,5625.0,0
2025-06-30,7434.0,1
2025-07-31,5400.0,1
2025-08-31,9900.0,1
2025-09-30,9094.5,0
2025-10-31,12500.099999999999,0
2025-11-30,7858.349999999999,0
2025-12-31,7135.424999999999,0
2026-01-31,6412.5,1
2026-02-28,7200.0,1
2026-03-31,9850.05,0
2026-04-30,12500.099999999999,0
